name,region,date
KX830930_BR_2016,Brazil,2016
KX832731_US_2016,USA,2016
KX838904_US_2016,USA,2016
KX838905_US_2016,USA,2016
KX838906_US_2016,USA,2016
KX842449_US_2016,USA,2016
KX856011_MX_2016,Mexico,2016
KX879603_EC_2016,Ecuador,2016
KX879604_EC_2016,Ecuador,2016
KX893855_VE_2016,Venezuela,2016
KX906952_HN_2016,Honduras,2016
KX922703_US_2016,USA,2016
KX922704_US_2016,USA,2016
KX922705_US_2016,USA,2016
KX922706_US_2016,USA,2016
KX922707_US_2016,USA,2016
KX922708_US_2016,USA,2016
KY003153_IT_2016,Italy,2016
KY003154_IT_2016,Italy,2016
KY014295_US_2016,USA,2016
KY014296_BR_2016,Brazil,2016
KY014297_BR_2016,Brazil,2016
KY014298_US_2016,USA,2016
KY014299_US_2016,USA,2016
KY014300_DO_2016,Dominican Republic,2016
KY014301_BR_2016,Brazil,2016
KY014302_DO_2016,Dominican Republic,2016
KY014303_DO_2016,Dominican Republic,2016
KY014304_DO_2016,Dominican Republic,2016
KY014305_DO_2016,Dominican Republic,2016
KY014306_HN_2016,Honduras,2016
KY014307_BR_2016,Brazil,2016
KY014310_HN_2016,Honduras,2016
KY014312_HN_2016,Honduras,2016
KY014313_BR_2016,Brazil,2016
KY014314_DO_2016,Dominican Republic,2016
KY014315_HN_2016,Honduras,2016
KY014316_US_2016,USA,2016
KY014317_BR_2016,Brazil,2016
KY014318_DO_2016,Dominican Republic,2016
KY014319_HN_2016,Honduras,2016
KY014320_BR_2016,Brazil,2016
KY014321_DO_2016,Dominican Republic,2016
KY014322_US_2016,USA,2016
KY014323_US_2016,USA,2016
KY014324_US_2016,USA,2016
KY014325_US_2016,USA,2016
KY014326_US_2016,USA,2016
KY014327_HN_2016,Honduras,2016
KY075932_US_2016,USA,2016
KY075933_US_2016,USA,2016
KY075934_US_2016,USA,2016
KY075935_US_2016,USA,2016
KY075936_US_2016,USA,2016
KY075937_US_2016,USA,2016
KY075938_US_2016,USA,2016
KY075939_US_2016,USA,2016
KY120348_MX_2016,Mexico,2016
KY120349_MX_2016,Mexico,2016
